regName,type,arraySize,VGAbase,VGAvalue,XGAbase,XGAvalue,L520base,L520value
JFILinnWeights_026,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_027,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_028,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_029,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_030,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_031,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_032,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_033,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_034,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_035,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_036,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_037,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_038,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_039,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_040,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_041,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_042,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_043,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_044,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_045,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_046,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_047,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_048,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_049,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_050,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_051,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_052,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_053,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_054,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_055,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_056,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_057,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_058,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_059,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_060,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_061,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_062,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_063,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_064,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_065,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_066,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_067,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_068,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_069,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_070,uint32,1,h,0003E666,h,0003E666,h,0003E666
JFILinnWeights_071,uint32,1,h,0003D333,h,0003D333,h,0003D333
JFILinnWeights_072,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_073,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_074,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_075,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_076,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_077,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_078,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_079,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_080,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_081,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_082,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_083,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_084,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_085,uint32,1,h,0003F000,h,0003F000,h,0003F000
JFILinnWeights_086,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_087,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_088,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_089,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_090,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_091,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_092,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_093,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_094,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_095,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_096,uint32,1,h,00000000,h,00000000,h,00000000
JFILinvDepthConfidence_000,uint16,2,h,178B26D1,h,178B26D1,h,178B26D1
JFILinvDepthConfidence_001,uint16,2,h,08A90E48,h,08A90E48,h,08A90E48
JFILinvDepthConfidence_002,uint16,2,h,03300541,h,03300541,h,03300541
JFILinvDepthConfidence_003,uint16,2,h,012C01EF,h,012C01EF,h,012C01EF
JFILinvDepthConfidence_004,uint16,2,h,006E00B6,h,006E00B6,h,006E00B6
JFILinvDepthConfidence_005,uint16,2,h,00290043,h,00290043,h,00290043
JFILinvDepthConfidence_006,uint16,2,h,000F0019,h,000F0019,h,000F0019
JFILinvDepthConfidence_007,uint16,2,h,00000009,h,00000009,h,00000009
JFILsortInvMultiplication_000,uint16,2,h,04000000,h,04000000,h,04000000
JFILsortInvMultiplication_001,uint16,2,h,01550200,h,01550200,h,01550200
JFILsortInvMultiplication_002,uint16,2,h,00CD0100,h,00CD0100,h,00CD0100
JFILsortInvMultiplication_003,uint16,2,h,009200AB,h,009200AB,h,009200AB
JFILsortInvMultiplication_004,uint16,2,h,00000080,h,00000080,h,00000080
RASTbiltAdaptR_000,uint8,4,h,7C7F8387,h,7C7F8387,h,7C7F8387
RASTbiltAdaptR_001,uint8,4,h,6D707478,h,6D707478,h,6D707478
RASTbiltAdaptR_002,uint8,4,h,5E616569,h,5E616569,h,5E616569
RASTbiltAdaptR_003,uint8,4,h,5053575A,h,5053575A,h,5053575A
RASTbiltAdaptR_004,uint8,4,h,44474A4D,h,44474A4D,h,44474A4D
RASTbiltAdaptR_005,uint8,4,h,393C3E41,h,393C3E41,h,393C3E41
RASTbiltAdaptR_006,uint8,4,h,31333537,h,31333537,h,31333537
RASTbiltAdaptR_007,uint8,4,h,2A2C2D2F,h,2A2C2D2F,h,2A2C2D2F
RASTbiltAdaptR_008,uint8,4,h,25262829,h,25262829,h,25262829
RASTbiltAdaptR_009,uint8,4,h,21222324,h,21222324,h,21222324
RASTbiltAdaptR_010,uint8,4,h,1E1F2021,h,1E1F2021,h,1E1F2021
RASTbiltAdaptR_011,uint8,4,h,1C1D1D1E,h,1C1D1D1E,h,1C1D1D1E
RASTbiltAdaptR_012,uint8,4,h,1B1B1C1C,h,1B1B1C1C,h,1B1B1C1C
RASTbiltAdaptR_013,uint8,4,h,1A1A1A1A,h,1A1A1A1A,h,1A1A1A1A
RASTbiltAdaptR_014,uint8,4,h,19191919,h,19191919,h,19191919
RASTbiltAdaptR_015,uint8,4,h,18181919,h,18181919,h,18181919
RASTbiltSigmoid_000,uint8,4,h,FEFEFFFF,h,FEFEFFFF,h,FEFEFFFF
RASTbiltSigmoid_001,uint8,4,h,FDFDFEFE,h,FDFDFEFE,h,FDFDFEFE
RASTbiltSigmoid_002,uint8,4,h,FAFBFCFC,h,FAFBFCFC,h,FAFBFCFC
RASTbiltSigmoid_003,uint8,4,h,F4F6F8F9,h,F4F6F8F9,h,F4F6F8F9
RASTbiltSigmoid_004,uint8,4,h,E9EDF0F2,h,E9EDF0F2,h,E9EDF0F2
RASTbiltSigmoid_005,uint8,4,h,D6DCE1E6,h,D6DCE1E6,h,D6DCE1E6
RASTbiltSigmoid_006,uint8,4,h,B6BFC7CF,h,B6BFC7CF,h,B6BFC7CF
RASTbiltSigmoid_007,uint8,4,h,8B97A2AC,h,8B97A2AC,h,8B97A2AC
RASTbiltSigmoid_008,uint8,4,h,5D687480,h,5D687480,h,5D687480
RASTbiltSigmoid_009,uint8,4,h,38404953,h,38404953,h,38404953
RASTbiltSigmoid_010,uint8,4,h,1E232930,h,1E232930,h,1E232930
RASTbiltSigmoid_011,uint8,4,h,0F121619,h,0F121619,h,0F121619
RASTbiltSigmoid_012,uint8,4,h,07090B0D,h,07090B0D,h,07090B0D
RASTbiltSigmoid_013,uint8,4,h,03040506,h,03040506,h,03040506
RASTbiltSigmoid_014,uint8,4,h,01020203,h,01020203,h,01020203
RASTbiltSigmoid_015,uint8,4,h,00010101,h,00010101,h,00010101
RASTbiltSpat_000,uint8,4,h,1B1C1C1C,h,1B1C1C1C,h,1B1C1C1C
RASTbiltSpat_001,uint8,4,h,1A1A1A1B,h,1A1A1A1B,h,1A1A1A1B
RASTbiltSpat_002,uint8,4,h,18181919,h,18181919,h,18181919
RASTbiltSpat_003,uint8,4,h,16161717,h,16161717,h,16161717
RASTbiltSpat_004,uint8,4,h,14151516,h,14151516,h,14151516
RASTbiltSpat_005,uint8,4,h,12131314,h,12131314,h,12131314
RASTbiltSpat_006,uint8,4,h,11111112,h,11111112,h,11111112
RASTbiltSpat_007,uint8,4,h,0F0F1010,h,0F0F1010,h,0F0F1010
RASTbiltSpat_008,uint8,4,h,0E0E0E0F,h,0E0E0E0F,h,0E0E0E0F
RASTbiltSpat_009,uint8,4,h,0D0D0D0E,h,0D0D0D0E,h,0D0D0D0E
RASTbiltSpat_010,uint8,4,h,0C0C0D0D,h,0C0C0D0D,h,0C0C0D0D
RASTbiltSpat_011,uint8,4,h,0C0C0C0C,h,0C0C0C0C,h,0C0C0C0C
RASTbiltSpat_012,uint8,4,h,0B0B0B0B,h,0B0B0B0B,h,0B0B0B0B
RASTbiltSpat_013,uint8,4,h,0B0B0B0B,h,0B0B0B0B,h,0B0B0B0B
RASTbiltSpat_014,uint8,4,h,0B0B0B0B,h,0B0B0B0B,h,0B0B0B0B
RASTbiltSpat_015,uint8,4,h,000A0B0B,h,000A0B0B,h,000A0B0B
RASTconfDC_000,uint4,8,h,68ACDEFF,h,68ACDEFF,h,68ACDEFF
RASTconfDC_001,uint4,8,h,00111234,h,00111234,h,00111234
RASTconfDC_002,uint4,8,h,00000000,h,00000000,h,00000000
RASTconfDC_003,uint4,8,h,00000000,h,00000000,h,00000000
RASTconfDC_004,uint4,8,h,00000000,h,00000000,h,00000000
RASTconfDC_005,uint4,8,h,00000000,h,00000000,h,00000000
RASTconfDC_006,uint4,8,h,00000000,h,00000000,h,00000000
RASTconfDC_007,uint4,8,h,00000000,h,00000000,h,00000000
JFILirShadingLUTr0_000,uint12,2,h,00FDFFFE,h,00FDFFFE,h,00FDFFFE
JFILirShadingLUTr0_001,uint12,2,h,00E1DEEA,h,00E1DEEA,h,00E1DEEA
JFILirShadingLUTr0_002,uint12,2,h,00CFED79,h,00CFED79,h,00CFED79
JFILirShadingLUTr0_003,uint12,2,h,00C84CAC,h,00C84CAC,h,00C84CAC
JFILirShadingLUTr0_004,uint12,2,h,00CACC84,h,00CACC84,h,00CACC84
JFILirShadingLUTr0_005,uint12,2,h,00D79CFE,h,00D79CFE,h,00D79CFE
JFILirShadingLUTr0_006,uint12,2,h,00EEAE1D,h,00EEAE1D,h,00EEAE1D
JFILirShadingLUTr0_007,uint12,2,h,00FFEFDF,h,00FFEFDF,h,00FFEFDF
JFILirShadingLUTr0_008,uint12,2,h,00000FFE,h,00000FFE,h,00000FFE
JFILirShadingLUTdelta_000,int10,2,h,000C2FE1,h,000C2FE1,h,000C2FE1
JFILirShadingLUTdelta_001,int10,2,h,000D7333,h,000D7333,h,000D7333
JFILirShadingLUTdelta_002,int10,2,h,000EBB85,h,000EBB85,h,000EBB85
JFILirShadingLUTdelta_003,int10,2,h,000003D8,h,000003D8,h,000003D8
JFILirShadingLUTdelta_004,int10,2,h,00014828,h,00014828,h,00014828
JFILirShadingLUTdelta_005,int10,2,h,0002907B,h,0002907B,h,0002907B
JFILirShadingLUTdelta_006,int10,2,h,0003D4CD,h,0003D4CD,h,0003D4CD
JFILirShadingLUTdelta_007,int10,2,h,0000001F,h,0000001F,h,0000001F
JFILirShadingLUTdelta_008,int10,2,h,000C2AE2,h,000C2AE2,h,000C2AE2
JFILirShadingLUTdelta_009,int10,2,h,000D7733,h,000D7733,h,000D7733
JFILirShadingLUTdelta_010,int10,2,h,000EBB85,h,000EBB85,h,000EBB85
JFILirShadingLUTdelta_011,int10,2,h,000003D7,h,000003D7,h,000003D7
JFILirShadingLUTdelta_012,int10,2,h,00014829,h,00014829,h,00014829
JFILirShadingLUTdelta_013,int10,2,h,00028C7B,h,00028C7B,h,00028C7B
JFILirShadingLUTdelta_014,int10,2,h,0003D8CD,h,0003D8CD,h,0003D8CD
JFILirShadingLUTdelta_015,int10,2,h,00007D1E,h,00007D1E,h,00007D1E
JFILirShadingLUTdelta_016,int10,2,h,000C2AE1,h,000C2AE1,h,000C2AE1
JFILirShadingLUTdelta_017,int10,2,h,000D7334,h,000D7334,h,000D7334
JFILirShadingLUTdelta_018,int10,2,h,000EBB85,h,000EBB85,h,000EBB85
JFILirShadingLUTdelta_019,int10,2,h,000003D7,h,000003D7,h,000003D7
JFILirShadingLUTdelta_020,int10,2,h,00014829,h,00014829,h,00014829
JFILirShadingLUTdelta_021,int10,2,h,0002907B,h,0002907B,h,0002907B
JFILirShadingLUTdelta_022,int10,2,h,0003D8CC,h,0003D8CC,h,0003D8CC
JFILirShadingLUTdelta_023,int10,2,h,0004511F,h,0004511F,h,0004511F
JFILirShadingLUTdelta_024,int10,2,h,000C2EE1,h,000C2EE1,h,000C2EE1
JFILirShadingLUTdelta_025,int10,2,h,000D7333,h,000D7333,h,000D7333
JFILirShadingLUTdelta_026,int10,2,h,000EBF85,h,000EBF85,h,000EBF85
JFILirShadingLUTdelta_027,int10,2,h,000003D7,h,000003D7,h,000003D7
JFILirShadingLUTdelta_028,int10,2,h,00014429,h,00014429,h,00014429
JFILirShadingLUTdelta_029,int10,2,h,0002907B,h,0002907B,h,0002907B
JFILirShadingLUTdelta_030,int10,2,h,0003D4CD,h,0003D4CD,h,0003D4CD
JFILirShadingLUTdelta_031,int10,2,h,00051D1F,h,00051D1F,h,00051D1F
JFILirShadingLUTdelta_032,int10,2,h,000C2AE2,h,000C2AE2,h,000C2AE2
JFILirShadingLUTdelta_033,int10,2,h,000D7733,h,000D7733,h,000D7733
JFILirShadingLUTdelta_034,int10,2,h,000EBB85,h,000EBB85,h,000EBB85
JFILirShadingLUTdelta_035,int10,2,h,000003D7,h,000003D7,h,000003D7
JFILirShadingLUTdelta_036,int10,2,h,00014829,h,00014829,h,00014829
JFILirShadingLUTdelta_037,int10,2,h,00028C7B,h,00028C7B,h,00028C7B
JFILirShadingLUTdelta_038,int10,2,h,0003D8CD,h,0003D8CD,h,0003D8CD
JFILirShadingLUTdelta_039,int10,2,h,0005211E,h,0005211E,h,0005211E
