Listing of Grid Distortion Data

File : C:\Users\nberkovi\AppData\Local\Microsoft\Windows\INetCache\Content.Outlook\LUPB47RS\WA 3E SEQ 1 5x L4 0  170113 DFM PS.ZMX
Title: 1.5X 4.0mm Expander 50x37.5 to 75x56

Date : 29-Mar-17


Units are Millimeters.
Field units are degrees
Wavelength: 0.86000 ?m
Reference Coordinates: Xref =  0.00000E+00, Yref =  0.00000E+00

   i	   j	   X-Field  	   Y-Field  	   R-Field  	  Predicted X	  Predicted Y	   Real X	        Real Y	        Distortion
 -24	  14	 -2.13776E+01	  1.28625E+01	  2.43789E+01	 -1.09795E+03	  6.40474E+02	 -1.28493E+03	  7.49542E+02	    17.029425%
 -24	  15	 -2.13776E+01	  1.37475E+01	  2.47785E+01	 -1.09795E+03	  6.86222E+02	 -1.29407E+03	  8.08792E+02	    17.861676%
 -24	  16	 -2.13776E+01	  1.46259E+01	  2.51950E+01	 -1.09795E+03	  7.31970E+02	 -1.30401E+03	  8.69338E+02	    18.766968%
 -24	  17	 -2.13776E+01	  1.54973E+01	  2.56269E+01	 -1.09795E+03	  7.77718E+02	 -1.31478E+03	  9.31299E+02	    19.747701%
 -24	  18	 -2.13776E+01	  1.63614E+01	  2.60728E+01	 -1.09795E+03	  8.23466E+02	 -1.32639E+03	  9.94796E+02	    20.805912%
 -24	  19	 -2.13776E+01	  1.72179E+01	  2.65312E+01	 -1.09795E+03	  8.69214E+02	 -1.33888E+03	  1.05995E+03	    21.943045%
 -24	  20	 -2.13776E+01	  1.80665E+01	  2.70010E+01	 -1.09795E+03	  9.14962E+02	 -1.35224E+03	  1.12686E+03	    23.159685%
 -24	  21	 -2.13776E+01	  1.89071E+01	  2.74807E+01	 -1.09795E+03	  9.60710E+02	 -1.36644E+03	  1.19556E+03	    24.449834%
 -24	  22	 -2.13776E+01	  1.97392E+01	  2.79693E+01	 -1.09795E+03	  1.00646E+03	 -1.38150E+03	  1.26619E+03	    25.816383%
 -24	  23	 -2.13776E+01	  2.05628E+01	  2.84655E+01	 -1.09795E+03	  1.05221E+03	 -1.39737E+03	  1.33886E+03	    27.257118%
 -24	  24	 -2.13776E+01	  2.13776E+01	  2.89683E+01	 -1.09795E+03	  1.09795E+03	 -1.41406E+03	  1.41406E+03	    28.789955%
